"i","dc","Val"
"F1","d1",1
"F1","d2",0
"F1","d3",0
"F1","d4",0
"F1","d5",0
"F1","d6",0
"F1","d7",0
"F1","d8",0
"F2","d1",1
"F2","d2",0
"F2","d3",0
"F2","d4",0
"F2","d5",0
"F2","d6",0
"F2","d7",0
"F2","d8",0
"F3","d1",1
"F3","d2",0
"F3","d3",0
"F3","d4",0
"F3","d5",0
"F3","d6",0
"F3","d7",0
"F3","d8",0
"F4","d1",1
"F4","d2",0
"F4","d3",0
"F4","d4",0
"F4","d5",0
"F4","d6",0
"F4","d7",0
"F4","d8",0
"F5","d1",1
"F5","d2",0
"F5","d3",0
"F5","d4",0
"F5","d5",0
"F5","d6",0
"F5","d7",0
"F5","d8",0
"F6","d1",1
"F6","d2",0
"F6","d3",0
"F6","d4",0
"F6","d5",0
"F6","d6",0
"F6","d7",0
"F6","d8",0
"F7","d1",1
"F7","d2",0
"F7","d3",0
"F7","d4",0
"F7","d5",0
"F7","d6",0
"F7","d7",0
"F7","d8",0
"F8","d1",1
"F8","d2",0
"F8","d3",0
"F8","d4",0
"F8","d5",0
"F8","d6",0
"F8","d7",0
"F8","d8",0
"F9","d1",1
"F9","d2",0
"F9","d3",0
"F9","d4",0
"F9","d5",0
"F9","d6",0
"F9","d7",0
"F9","d8",0
"F10","d1",1
"F10","d2",0
"F10","d3",0
"F10","d4",0
"F10","d5",0
"F10","d6",0
"F10","d7",0
"F10","d8",0
"F11","d1",1
"F11","d2",0
"F11","d3",0
"F11","d4",0
"F11","d5",0
"F11","d6",0
"F11","d7",0
"F11","d8",0
"F12","d1",1
"F12","d2",0
"F12","d3",0
"F12","d4",0
"F12","d5",0
"F12","d6",0
"F12","d7",0
"F12","d8",0
"F13","d1",1
"F13","d2",0
"F13","d3",0
"F13","d4",0
"F13","d5",0
"F13","d6",0
"F13","d7",0
"F13","d8",0
"F14","d1",1
"F14","d2",0
"F14","d3",0
"F14","d4",0
"F14","d5",0
"F14","d6",0
"F14","d7",0
"F14","d8",0
"F15","d1",1
"F15","d2",0
"F15","d3",0
"F15","d4",0
"F15","d5",0
"F15","d6",0
"F15","d7",0
"F15","d8",0
"F16","d1",1
"F16","d2",0
"F16","d3",0
"F16","d4",0
"F16","d5",0
"F16","d6",0
"F16","d7",0
"F16","d8",0
"F17","d1",1
"F17","d2",0
"F17","d3",0
"F17","d4",0
